ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT
1450	Goshimjang	to freeze	nì ɲwɛ̀	nì_ɲwɛ̀	n ì/i + ɲʷ ɛ̀/ɛ		2037 2038	n ì/i - + ɲʷ ɛ̀/ɛ
1271	NdandaNyep	to give	hɛ̌	hɛ̌	h ɛ̌/ɛ		2052	h ɛ̌/ɛ
1272	NdandaShingou	to give	hɛ̌	hɛ̌	h ɛ̌/ɛ		2052	h ɛ̌/ɛ
1273	NdandaCaa	to give	hɛ̌	hɛ̌	h ɛ̌/ɛ		2052	h ɛ̌/ɛ
1274	NdandaMeno	to give	hɛ̌	hɛ̌	h ɛ̌/ɛ		2052	h ɛ̌/ɛ
1275	NdandaLek	to give	nə̀ há	nə̀_há	n ə̀/ə + h á/a		2051 2052	n ə̀/ə + h á/a
1276	NdandaNgwa	to give	hɛ̌	hɛ̌	h ɛ̌/ɛ		2052	h ɛ̌/ɛ
1277	NdandaTwefap	to give	hɛ̌	hɛ̌	h ɛ̌/ɛ		2052	h ɛ̌/ɛ
1278	NdandaDenfap	to give	hɛ̌	hɛ̌	h ɛ̌/ɛ		2052	h ɛ̌/ɛ
1279	NdandaZua	to give	ndì há	ndì_há	ⁿd ì/i + h á/a		2053 2052	ⁿd ì/i + h á/a
1280	Goshimjang	to give	nì há	nì_há	n ì/i + h á/a		2051 2052	n ì/i + h á/a
1011	NdandaNyep	to hear	ndʒû	ndʒû	ⁿdʒ û/u		2067	ⁿdʒ û/u
1012	NdandaShingou	to hear	ndʒû	ndʒû	ⁿdʒ û/u		2067	ⁿdʒ û/u
1013	NdandaCaa	to hear	ndʒû	ndʒû	ⁿdʒ û/u		2067	ⁿdʒ û/u
1014	NdandaMeno	to hear	jǔʔǔ	jǔʔǔ	j ǔ/u ʔ ǔ/u		2066	j ǔ/u ʔ ǔ/u
1015	NdandaLek	to hear	nə̀ júʔ	nə̀_júʔ	n ə̀/ə + j ú/u ʔ		2065 2066	n ə̀/ə + j ú/u ʔ -
1016	NdandaNgwa	to hear	jǔ	jǔ	j ǔ/u		2066	j ǔ/u - -
1017	NdandaTwefap	to hear	ndʒû	ndʒû	ⁿdʒ û/u		2067	ⁿdʒ û/u
1018	NdandaDenfap	to hear	jǔ	jǔ	j ǔ/u		2066	j ǔ/u - -
1019	NdandaZua	to hear	ndì ndʒúʔ	ndì_ndʒúʔ	ⁿd ì/i + ⁿdʒ ú/u ʔ		2067 2066	ⁿd ì/i + ⁿdʒ ú/u ʔ -
1020	Goshimjang	to hear	nì júʔ	nì_júʔ	n ì/i + j ú/u ʔ		2065 2066	n ì/i + j ú/u ʔ -
1121	NdandaNyep	to hit	nzǎp	nzǎp	ⁿz ǎ/a p		2080	ⁿz ǎ/a p -
1122	NdandaShingou	to hit	nzǎp	nzǎp	ⁿz ǎ/a p		2080	ⁿz ǎ/a p -
1123	NdandaCaa	to hit	nzǎp	nzǎp	ⁿz ǎ/a p		2080	ⁿz ǎ/a p -
1124	NdandaMeno	to hit	nzǎp	nzǎp	ⁿz ǎ/a p		2080	ⁿz ǎ/a p -
1125	NdandaLek	to hit	nə̀ zabə̀	nə̀_zabə̀	n ə̀/ə + z a b ə̀/ə		2079 2080	n ə̀/ə + z a b ə̀/ə
1126	NdandaNgwa	to hit	zɛ́	zɛ́	z ɛ́/ɛ		2080	z ɛ́/ɛ - -
1127	NdandaTwefap	to hit	mbǔ	mbǔ	ⁿb ǔ/u		2080	- - ⁿb ǔ/u
1128	NdandaDenfap	to hit	nzǎp	nzǎp	ⁿz ǎ/a p		2080	ⁿz ǎ/a p -
1129	NdandaZua	to hit	ndì zàbə̀	ndì_zàbə̀	ⁿd ì/i + z à/a b ə̀/ə		2081 2080	ⁿd ì/i + z à/a b ə̀/ə
1130	Goshimjang	to hit	nì zàbə̀	nì_zàbə̀	n ì/i + z à/a b ə̀/ə		2079 2080	n ì/i + z à/a b ə̀/ə
1281	NdandaNyep	to hold	tʃíbɨ́	tʃíbɨ́	tʃ í/i b ɨ́/ɨ		2094	tʃ í/i b ɨ́/ɨ
1282	NdandaShingou	to hold	tʃíbɨ́	tʃíbɨ́	tʃ í/i b ɨ́/ɨ		2094	tʃ í/i b ɨ́/ɨ
1283	NdandaCaa	to hold	tʃíbɨ́	tʃíbɨ́	tʃ í/i b ɨ́/ɨ		2094	tʃ í/i b ɨ́/ɨ
1284	NdandaMeno	to hold	tʃíbɨ́	tʃíbɨ́	tʃ í/i b ɨ́/ɨ		2094	tʃ í/i b ɨ́/ɨ
1285	NdandaLek	to hold	nə̀ ʃìbə̀	nə̀_ʃìbə̀	n ə̀/ə + ʃ ì/i b ə̀/ə		2093 2094	n ə̀/ə + ʃ ì/i b ə̀/ə
1286	NdandaNgwa	to hold	wǔp	wǔp	w ǔ/u p		2094	w ǔ/u p -
1287	NdandaTwefap	to hold	tʃǐp	tʃǐp	tʃ ǐ/i p		2094	tʃ ǐ/i p -
