# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
1812	41_full	Full	NdandaShingou	Ndanda_Shingou	lúhǔ	lúhǔ	l ú/u h ǔ/u	ndan1241		5.238847	10.491081		5 7 3 7	AXBZ	LYHY	8	8.L.C 8.Y.V 8.H.C 8.Y.V	2.0 1.5 1.75 0.8	lú/uhǔ/u	0	490	l ú/u h ǔ/u
1813	41_full	Full	NdandaCaa	Ndanda_Ca-a	lúhǔ	lúhǔ	l ú/u h ǔ/u	ndan1241		5.14715	10.3942		5 7 3 7	AXBZ	LYHY	2	2.L.C 2.Y.V 2.H.C 2.Y.V	2.0 1.5 1.75 0.8	lú/uhǔ/u	0	490	l ú/u h ǔ/u
1814	41_full	Full	NdandaMeno	Ndanda_Meno	ndúhǔ	ndúhǔ	ⁿd ú/u h ǔ/u	ndan1241		5.069482	10.425853		1 7 3 7	AXBZ	TYHY	5	5.T.C 5.Y.V 5.H.C 5.Y.V	2.0 1.5 1.75 0.8	ⁿdú/uhǔ/u	0	490	ⁿd ú/u h ǔ/u
1815	41_full	Full	NdandaLek	Ndanda_Lek	lúhú	lúhú	l ú/u h ú/u	ndan1241		5.150741	10.429029		5 7 3 7	AXBZ	LYHY	4	4.L.C 4.Y.V 4.H.C 4.Y.V	2.0 1.5 1.75 0.8	lú/uhú/u	0	490	l ú/u h ú/u
1816	41_full	Full	NdandaNgwa	Ndanda_Ngwa	lǒ	lǒ	l ǒ/o	ndan1241		5.191047	10.473404		5 7	AX	LU	6	6.L.C 6.U.V	2.0 1.5	lǒ/o	0	491	l ǒ/o
1817	41_full	Full	NdandaTwefap	Ndanda_Twefap	ndúhǔ	ndúhǔ	ⁿd ú/u h ǔ/u	ndan1241		5.027245	10.473575		1 7 3 7	AXBZ	TYHY	9	9.T.C 9.Y.V 9.H.C 9.Y.V	2.0 1.5 1.75 0.8	ⁿdú/uhǔ/u	0	490	ⁿd ú/u h ǔ/u
1818	41_full	Full	NdandaDenfap	Ndanda_Denfap	lúhǔ	lúhǔ	l ú/u h ǔ/u	ndan1241		5.111459	10.336031		5 7 3 7	AXBZ	LYHY	3	3.L.C 3.Y.V 3.H.C 3.Y.V	2.0 1.5 1.75 0.8	lú/uhǔ/u	0	490	l ú/u h ǔ/u
1819	41_full	Full	NdandaZua	Ndanda_Zua	lúhú	lúhú	l ú/u h ú/u						5 7 3 7	AXBZ	LYHY	10	10.L.C 10.Y.V 10.H.C 10.Y.V	2.0 1.5 1.75 0.8	lú/uhú/u	0	490	l ú/u h ú/u
1820	41_full	Full	Goshimjang	Goshimjang	lúhú	lúhú	l ú/u h ú/u	ndan1241		5.234168	10.407013		5 7 3 7	AXBZ	LYHY	1	1.L.C 1.Y.V 1.H.C 1.Y.V	2.0 1.5 1.75 0.8	lú/uhú/u	0	490	l ú/u h ú/u
#
1841	42_good	Good	NdandaNyep	Ndanda_Nyep	ŋgɛ́ pɔ̂k	ŋgɛ́_pɔ̂k	ⁿg ɛ́/ɛ + p ɔ̂/ɔ k	bato1245		5.254489	10.471901		1 7 9 1 7 1	AX_AXN	KE_PUK	7	7.K.C 7.E.V 7._._ 7.P.C 7.U.V 7.K.c	2.0 1.5 0.0 2.0 1.5 0.8	ⁿgɛ́/ɛ+pɔ̂/ɔk	0	502 501	ⁿg ɛ́/ɛ + p ɔ̂/ɔ - - k
1842	42_good	Good	NdandaShingou	Ndanda_Shingou	ŋgɛ́ pɔ̂k	ŋgɛ́_pɔ̂k	ⁿg ɛ́/ɛ + p ɔ̂/ɔ k	ndan1241		5.238847	10.491081		1 7 9 1 7 1	AX_AXN	KE_PUK	8	8.K.C 8.E.V 8._._ 8.P.C 8.U.V 8.K.c	2.0 1.5 0.0 2.0 1.5 0.8	ⁿgɛ́/ɛ+pɔ̂/ɔk	0	502 501	ⁿg ɛ́/ɛ + p ɔ̂/ɔ - - k
1843	42_good	Good	NdandaCaa	Ndanda_Ca-a	ŋgɛ́ pɔ̂k	ŋgɛ́_pɔ̂k	ⁿg ɛ́/ɛ + p ɔ̂/ɔ k	ndan1241		5.14715	10.3942		1 7 9 1 7 1	AX_AXN	KE_PUK	2	2.K.C 2.E.V 2._._ 2.P.C 2.U.V 2.K.c	2.0 1.5 0.0 2.0 1.5 0.8	ⁿgɛ́/ɛ+pɔ̂/ɔk	0	502 501	ⁿg ɛ́/ɛ + p ɔ̂/ɔ - - k
1844	42_good	Good	NdandaMeno	Ndanda_Meno	mbɔ̌k	mbɔ̌k	ⁿb ɔ̌/ɔ k	ndan1241		5.069482	10.425853		1 7 1	AXN	PUK	5	5.P.C 5.U.V 5.K.c	2.0 1.5 0.8	ⁿbɔ̌/ɔk	0	501	ⁿb ɔ̌/ɔ - - k
1845	42_good	Good	NdandaLek	Ndanda_Lek	pɔ̀ŋ	pɔ̀ŋ	p ɔ̀/ɔ ŋ	ndan1241		5.150741	10.429029		1 7 4	AXN	PUN	4	4.P.C 4.U.V 4.N.c	2.0 1.5 0.8	pɔ̀/ɔŋ	0	501	p ɔ̀/ɔ - - ŋ
1846	42_good	Good	NdandaNgwa	Ndanda_Ngwa	pwô	pwô	pʷ ô/o	ndan1241		5.191047	10.473404		1 7	AX	PU	6	6.P.C 6.U.V	2.0 1.5	pʷô/o	0	501	pʷ ô/o - - -
1847	42_good	Good	NdandaTwefap	Ndanda_Twefap	bvɔ̌k	bvɔ̌k	bv ɔ̌/ɔ k	ndan1241		5.027245	10.473575		2 7 1	AXN	BUK	9	9.B.C 9.U.V 9.K.c	2.0 1.5 0.8	bvɔ̌/ɔk	0	503	bv ɔ̌/ɔ k
1848	42_good	Good	NdandaDenfap	Ndanda_Denfap	púwɔ̂k	púwɔ̂k	p ú/u w ɔ̂/ɔ k	ndan1241		5.111459	10.336031		1 7 6 7 1	AXBYN	PYWUK	3	3.P.C 3.Y.V 3.W.C 3.U.V 3.K.c	2.0 1.5 1.75 1.3 0.8	pú/uwɔ̂/ɔk	0	501	p ú/u w ɔ̂/ɔ k
1849	42_good	Good	NdandaZua	Ndanda_Zua	bɔ̀ŋ	bɔ̀ŋ	b ɔ̀/ɔ ŋ						1 7 4	AXN	PUN	10	10.P.C 10.U.V 10.N.c	2.0 1.5 0.8	bɔ̀/ɔŋ	0	501	b ɔ̀/ɔ - - ŋ
1850	42_good	Good	Goshimjang	Goshimjang	bɔ̀ŋ	bɔ̀ŋ	b ɔ̀/ɔ ŋ	ndan1241		5.234168	10.407013		1 7 4	AXN	PUN	1	1.P.C 1.U.V 1.N.c	2.0 1.5 0.8	bɔ̀/ɔŋ	0	501	b ɔ̀/ɔ - - ŋ
#
591	43_grass	Grass	NdandaNyep	Ndanda_Nyep	níɲɛ́	níɲɛ́	n í/i ɲ ɛ́/ɛ	bato1245		5.254489	10.471901		4 7 4 7	AXBZ	NINE	7	7.N.C 7.I.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	ní/iɲɛ́/ɛ	0	515	n í/i ɲ ɛ́/ɛ
592	43_grass	Grass	NdandaShingou	Ndanda_Shingou	níɲá	níɲá	n í/i ɲ á/a	ndan1241		5.238847	10.491081		4 7 4 7	AXBZ	NINA	8	8.N.C 8.I.V 8.N.C 8.A.V	2.0 1.5 1.75 0.8	ní/iɲá/a	0	515	n í/i ɲ á/a
593	43_grass	Grass	NdandaCaa	Ndanda_Ca-a	níɲɛ́	níɲɛ́	n í/i ɲ ɛ́/ɛ	ndan1241		5.14715	10.3942		4 7 4 7	AXBZ	NINE	2	2.N.C 2.I.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	ní/iɲɛ́/ɛ	0	515	n í/i ɲ ɛ́/ɛ
594	43_grass	Grass	NdandaMeno	Ndanda_Meno	níɲɛ́	níɲɛ́	n í/i ɲ ɛ́/ɛ	ndan1241		5.069482	10.425853		4 7 4 7	AXBZ	NINE	5	5.N.C 5.I.V 5.N.C 5.E.V	2.0 1.5 1.75 0.8	ní/iɲɛ́/ɛ	0	515	n í/i ɲ ɛ́/ɛ
595	43_grass	Grass	NdandaLek	Ndanda_Lek	ɲìɲà	ɲìɲà	ɲ ì/i ɲ à/a	ndan1241		5.150741	10.429029		4 7 4 7	AXBZ	NINA	4	4.N.C 4.I.V 4.N.C 4.A.V	2.0 1.5 1.75 0.8	ɲì/iɲà/a	0	515	ɲ ì/i ɲ à/a
596	43_grass	Grass	NdandaNgwa	Ndanda_Ngwa	níɲá	níɲá	n í/i ɲ á/a	ndan1241		5.191047	10.473404		4 7 4 7	AXBZ	NINA	6	6.N.C 6.I.V 6.N.C 6.A.V	2.0 1.5 1.75 0.8	ní/iɲá/a	0	515	n í/i ɲ á/a
597	43_grass	Grass	NdandaTwefap	Ndanda_Twefap	ɲɛ̌	ɲɛ̌	ɲ ɛ̌/ɛ	ndan1241		5.027245	10.473575		4 7	AX	NE	9	9.N.C 9.E.V	2.0 1.5	ɲɛ̌/ɛ	0	515	ɲ ɛ̌/ɛ - -
598	43_grass	Grass	NdandaDenfap	Ndanda_Denfap	ɲɛ̌	ɲɛ̌	ɲ ɛ̌/ɛ	ndan1241		5.111459	10.336031		4 7	AX	NE	3	3.N.C 3.E.V	2.0 1.5	ɲɛ̌/ɛ	0	515	ɲ ɛ̌/ɛ - -
599	43_grass	Grass	NdandaZua	Ndanda_Zua	ɲìɲà	ɲìɲà	ɲ ì/i ɲ à/a						4 7 4 7	AXBZ	NINA	10	10.N.C 10.I.V 10.N.C 10.A.V	2.0 1.5 1.75 0.8	ɲì/iɲà/a	0	515	ɲ ì/i ɲ à/a
600	43_grass	Grass	Goshimjang	Goshimjang	ɲìɲà	ɲìɲà	ɲ ì/i ɲ à/a	ndan1241		5.234168	10.407013		4 7 4 7	AXBZ	NINA	1	1.N.C 1.I.V 1.N.C 1.A.V	2.0 1.5 1.75 0.8	ɲì/iɲà/a	0	515	ɲ ì/i ɲ à/a
#
1721	44_green	Green	NdandaNyep	Ndanda_Nyep	lɨ́gɨ̌ lɨ́gɨ̌	lɨ́gɨ̌_lɨ́gɨ̌	l ɨ́/ɨ g ɨ̌/ɨ + l ɨ́/ɨ g ɨ̌/ɨ	bato1245		5.254489	10.471901		5 7 1 7 9 5 7 1 7	AXBZ_AXBZ	LIKI_LIKI	7	7.L.C 7.I.V 7.K.C 7.I.V 7._._ 7.L.C 7.I.V 7.K.C 7.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	lɨ́/ɨgɨ̌/ɨ+lɨ́/ɨgɨ̌/ɨ	0	530 531	l ɨ́/ɨ g ɨ̌/ɨ + l ɨ́/ɨ g ɨ̌/ɨ
1722	44_green	Green	NdandaShingou	Ndanda_Shingou	lɨ́gɨ̌ lɨ́gɨ̌	lɨ́gɨ̌_lɨ́gɨ̌	l ɨ́/ɨ g ɨ̌/ɨ + l ɨ́/ɨ g ɨ̌/ɨ	ndan1241		5.238847	10.491081		5 7 1 7 9 5 7 1 7	AXBZ_AXBZ	LIKI_LIKI	8	8.L.C 8.I.V 8.K.C 8.I.V 8._._ 8.L.C 8.I.V 8.K.C 8.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	lɨ́/ɨgɨ̌/ɨ+lɨ́/ɨgɨ̌/ɨ	0	530 531	l ɨ́/ɨ g ɨ̌/ɨ + l ɨ́/ɨ g ɨ̌/ɨ
1723	44_green	Green	NdandaCaa	Ndanda_Ca-a	níɲɛ̀p fǐ	níɲɛ̀p_fǐ	n í/i ɲ ɛ̀/ɛ p + f ǐ/i	ndan1241		5.14715	10.3942		4 7 4 7 1 9 3 7	AXBYN_AX	NINEP_BI	2	2.N.C 2.I.V 2.N.C 2.E.V 2.P.c 2._._ 2.B.C 2.I.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5	ní/iɲɛ̀/ɛp+fǐ/i	0	527 528	n í/i ɲ ɛ̀/ɛ p - - + f ǐ/i
1724	44_green	Green	NdandaMeno	Ndanda_Meno	nûjɛ̌nûjɛ̌	nûjɛ̌nûjɛ̌	n û/u j ɛ̌/ɛ n û/u j ɛ̌/ɛ	ndan1241		5.069482	10.425853		4 7 6 7 4 7 6 7	AXBYBYBZ	NYJENYJE	5	5.N.C 5.Y.V 5.J.C 5.E.V 5.N.C 5.Y.V 5.J.C 5.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	nû/ujɛ̌/ɛnû/ujɛ̌/ɛ	0	529	n û/u j ɛ̌/ɛ n û/u j ɛ̌/ɛ
1725	44_green	Green	NdandaLek	Ndanda_Lek	ŋwaʔwaʔ	ŋwaʔwaʔ	ŋʷ a ʔʷ a ʔ	ndan1241		5.150741	10.429029		4 7 1 7 1	AXBYN	NAHAH	4	4.N.C 4.A.V 4.H.C 4.A.V 4.H.c	2.0 1.5 1.75 1.3 0.8	ŋʷaʔʷaʔ	0	526	ŋʷ a ʔʷ - a ʔ
1726	44_green	Green	NdandaNgwa	Ndanda_Ngwa	niɲɛkɣǔ	niɲɛkɣǔ	n i ɲ ɛ k ɣ ǔ/u	ndan1241		5.191047	10.473404		4 7 4 7 1 3 7	AXBYBCZ	NINEKGY	6	6.N.C 6.I.V 6.N.C 6.E.V 6.K.C 6.G.C 6.Y.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	niɲɛkɣǔ/u	0	527	n i ɲ ɛ k ɣ ǔ/u
1727	44_green	Green	NdandaTwefap	Ndanda_Twefap	niɲɛkɣǔ	niɲɛkɣǔ	n i ɲ ɛ k ɣ ǔ/u	ndan1241		5.027245	10.473575		4 7 4 7 1 3 7	AXBYBCZ	NINEKGY	9	9.N.C 9.I.V 9.N.C 9.E.V 9.K.C 9.G.C 9.Y.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	niɲɛkɣǔ/u	0	527	n i ɲ ɛ k ɣ ǔ/u
1728	44_green	Green	NdandaDenfap	Ndanda_Denfap	niɲɛkɣǔ	niɲɛkɣǔ	n i ɲ ɛ k ɣ ǔ/u	ndan1241		5.111459	10.336031		4 7 4 7 1 3 7	AXBYBCZ	NINEKGY	3	3.N.C 3.I.V 3.N.C 3.E.V 3.K.C 3.G.C 3.Y.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	niɲɛkɣǔ/u	0	527	n i ɲ ɛ k ɣ ǔ/u
1729	44_green	Green	NdandaZua	Ndanda_Zua	ɲìɲàfí	ɲìɲàfí	ɲ ì/i ɲ à/a f í/i						4 7 4 7 3 7	AXBYBZ	NINABI	10	10.N.C 10.I.V 10.N.C 10.A.V 10.B.C 10.I.V	2.0 1.5 1.75 1.3 1.75 0.8	ɲì/iɲà/afí/i	0	532	ɲ ì/i ɲ à/a f í/i
1730	44_green	Green	Goshimjang	Goshimjang	ɲwɛ̀ʔɲwɛ̀ʔ	ɲwɛ̀ʔɲwɛ̀ʔ	ɲʷ ɛ̀/ɛ ʔ ɲʷ ɛ̀/ɛ ʔ	ndan1241		5.234168	10.407013		4 7 1 4 7 1	AXBCYN	NEHNEH	1	1.N.C 1.E.V 1.H.C 1.N.C 1.E.V 1.H.c	2.0 1.5 1.75 1.5 1.3 0.8	ɲʷɛ̀/ɛʔɲʷɛ̀/ɛʔ	0	526	ɲʷ ɛ̀/ɛ ʔ ɲʷ ɛ̀/ɛ ʔ
#
851	45_guts	Guts	NdandaNyep	Ndanda_Nyep	tʃǎ	tʃǎ	tʃ ǎ/a	bato1245		5.254489	10.471901		1 7	AX	TA	7	7.T.C 7.A.V	2.0 1.5	tʃǎ/a	0	541	tʃ ǎ/a
852	45_guts	Guts	NdandaShingou	Ndanda_Shingou	zú vɔ̌p	zú_vɔ̌p	z ú/u + v ɔ̌/ɔ p	ndan1241		5.238847	10.491081		3 7 9 3 7 1	AX_AXN	SY_BUP	8	8.S.C 8.Y.V 8._._ 8.B.C 8.U.V 8.P.c	2.0 1.5 0.0 2.0 1.5 0.8	zú/u+vɔ̌/ɔp	0	542 543	- z ú/u + v ɔ̌/ɔ p
853	45_guts	Guts	NdandaCaa	Ndanda_Ca-a	tʃǎ	tʃǎ	tʃ ǎ/a	ndan1241		5.14715	10.3942		1 7	AX	TA	2	2.T.C 2.A.V	2.0 1.5	tʃǎ/a	0	541	tʃ ǎ/a
854	45_guts	Guts	NdandaMeno	Ndanda_Meno	tʃǎ	tʃǎ	tʃ ǎ/a	ndan1241		5.069482	10.425853		1 7	AX	TA	5	5.T.C 5.A.V	2.0 1.5	tʃǎ/a	0	541	tʃ ǎ/a
855	45_guts	Guts	NdandaLek	Ndanda_Lek	ntú	ntú	ⁿt ú/u	ndan1241		5.150741	10.429029		1 7	AX	TY	4	4.T.C 4.Y.V	2.0 1.5	ⁿtú/u	0	540	ⁿt ú/u
856	45_guts	Guts	NdandaNgwa	Ndanda_Ngwa	tʃǎ	tʃǎ	tʃ ǎ/a	ndan1241		5.191047	10.473404		1 7	AX	TA	6	6.T.C 6.A.V	2.0 1.5	tʃǎ/a	0	541	tʃ ǎ/a
857	45_guts	Guts	NdandaTwefap	Ndanda_Twefap	ntʃǔ	ntʃǔ	ⁿt ʃ ǔ/u	ndan1241		5.027245	10.473575		1 3 7	ACX	TSY	9	9.T.C 9.S.C 9.Y.V	2.0 1.5 1.5	ⁿtʃǔ/u	0	542	ⁿt ʃ ǔ/u
858	45_guts	Guts	NdandaDenfap	Ndanda_Denfap	ntʃǔ	ntʃǔ	ⁿt ʃ ǔ/u	ndan1241		5.111459	10.336031		1 3 7	ACX	TSY	3	3.T.C 3.S.C 3.Y.V	2.0 1.5 1.5	ⁿtʃǔ/u	0	542	ⁿt ʃ ǔ/u
859	45_guts	Guts	NdandaZua	Ndanda_Zua	ntú	ntú	ⁿt ú/u						1 7	AX	TY	10	10.T.C 10.Y.V	2.0 1.5	ⁿtú/u	0	540	ⁿt ú/u
860	45_guts	Guts	Goshimjang	Goshimjang	ntú	ntú	ⁿt ú/u	ndan1241		5.234168	10.407013		1 7	AX	TY	1	1.T.C 1.Y.V	2.0 1.5	ⁿtú/u	0	540	ⁿt ú/u
#
701	46_hair	Hair	NdandaNyep	Ndanda_Nyep	nɨ̌gé	nɨ̌gé	n ɨ̌/ɨ g é/e	bato1245		5.254489	10.471901		4 7 1 7	AXBZ	NIKE	7	7.N.C 7.I.V 7.K.C 7.E.V	2.0 1.5 1.75 0.8	nɨ̌/ɨgé/e	0	553	n ɨ̌/ɨ g é/e
702	46_hair	Hair	NdandaShingou	Ndanda_Shingou	nɨ̌gé	nɨ̌gé	n ɨ̌/ɨ g é/e	ndan1241		5.238847	10.491081		4 7 1 7	AXBZ	NIKE	8	8.N.C 8.I.V 8.K.C 8.E.V	2.0 1.5 1.75 0.8	nɨ̌/ɨgé/e	0	553	n ɨ̌/ɨ g é/e
703	46_hair	Hair	NdandaCaa	Ndanda_Ca-a	nɨ̌gé	nɨ̌gé	n ɨ̌/ɨ g é/e	ndan1241		5.14715	10.3942		4 7 1 7	AXBZ	NIKE	2	2.N.C 2.I.V 2.K.C 2.E.V	2.0 1.5 1.75 0.8	nɨ̌/ɨgé/e	0	553	n ɨ̌/ɨ g é/e
704	46_hair	Hair	NdandaMeno	Ndanda_Meno	nɨ̌gé	nɨ̌gé	n ɨ̌/ɨ g é/e	ndan1241		5.069482	10.425853		4 7 1 7	AXBZ	NIKE	5	5.N.C 5.I.V 5.K.C 5.E.V	2.0 1.5 1.75 0.8	nɨ̌/ɨgé/e	0	553	n ɨ̌/ɨ g é/e
705	46_hair	Hair	NdandaLek	Ndanda_Lek	ɲìŋtʃwí	ɲìŋtʃwí	ɲ ì/i ŋ tʃʷ í/i	ndan1241		5.150741	10.429029		4 7 4 1 7	AXMBZ	NINTI	4	4.N.C 4.I.V 4.N.c 4.T.C 4.I.V	2.0 1.5 1.1 1.75 0.8	ɲì/iŋtʃʷí/i	0	552	ɲ ì/i ŋ tʃʷ í/i
706	46_hair	Hair	NdandaNgwa	Ndanda_Ngwa	nɔ̂k	nɔ̂k	n ɔ̂/ɔ k	ndan1241		5.191047	10.473404		4 7 1	AXN	NUK	6	6.N.C 6.U.V 6.K.c	2.0 1.5 0.8	nɔ̂/ɔk	0	553	n ɔ̂/ɔ k -
707	46_hair	Hair	NdandaTwefap	Ndanda_Twefap	nɔ̂k	nɔ̂k	n ɔ̂/ɔ k	ndan1241		5.027245	10.473575		4 7 1	AXN	NUK	9	9.N.C 9.U.V 9.K.c	2.0 1.5 0.8	nɔ̂/ɔk	0	553	n ɔ̂/ɔ k -
708	46_hair	Hair	NdandaDenfap	Ndanda_Denfap	nɔ̂k	nɔ̂k	n ɔ̂/ɔ k	ndan1241		5.111459	10.336031		4 7 1	AXN	NUK	3	3.N.C 3.U.V 3.K.c	2.0 1.5 0.8	nɔ̂/ɔk	0	553	n ɔ̂/ɔ k -
709	46_hair	Hair	NdandaZua	Ndanda_Zua	ɲìŋtʃwí	ɲìŋtʃwí	ɲ ì/i ŋ tʃʷ í/i						4 7 4 1 7	AXMBZ	NINTI	10	10.N.C 10.I.V 10.N.c 10.T.C 10.I.V	2.0 1.5 1.1 1.75 0.8	ɲì/iŋtʃʷí/i	0	552	ɲ ì/i ŋ tʃʷ í/i
710	46_hair	Hair	Goshimjang	Goshimjang	ɲìŋtʃwí	ɲìŋtʃwí	ɲ ì/i ŋ tʃʷ í/i	ndan1241		5.234168	10.407013		4 7 4 1 7	AXMBZ	NINTI	1	1.N.C 1.I.V 1.N.c 1.T.C 1.I.V	2.0 1.5 1.1 1.75 0.8	ɲì/iŋtʃʷí/i	0	552	ɲ ì/i ŋ tʃʷ í/i
#
821	47_hand	Hand	NdandaNyep	Ndanda_Nyep	pú	pú	p ú/u	bato1245		5.254489	10.471901		1 7	AX	PY	7	7.P.C 7.Y.V	2.0 1.5	pú/u	0	563	p ú/u
822	47_hand	Hand	NdandaShingou	Ndanda_Shingou	mbú mú	mbú_mú	ⁿb ú/u + m ú/u	ndan1241		5.238847	10.491081		1 7 9 4 7	AX_AX	PY_MY	8	8.P.C 8.Y.V 8._._ 8.M.C 8.Y.V	2.0 1.5 0.0 2.0 1.5	ⁿbú/u+mú/u	0	563 564	ⁿb ú/u + m ú/u
823	47_hand	Hand	NdandaCaa	Ndanda_Ca-a	mbǔ	mbǔ	ⁿb ǔ/u	ndan1241		5.14715	10.3942		1 7	AX	PY	2	2.P.C 2.Y.V	2.0 1.5	ⁿbǔ/u	0	563	ⁿb ǔ/u
824	47_hand	Hand	NdandaMeno	Ndanda_Meno	mbǔ	mbǔ	ⁿb ǔ/u	ndan1241		5.069482	10.425853		1 7	AX	PY	5	5.P.C 5.Y.V	2.0 1.5	ⁿbǔ/u	0	563	ⁿb ǔ/u
825	47_hand	Hand	NdandaLek	Ndanda_Lek	pú	pú	p ú/u	ndan1241		5.150741	10.429029		1 7	AX	PY	4	4.P.C 4.Y.V	2.0 1.5	pú/u	1	563	p ú/u
826	47_hand	Hand	NdandaNgwa	Ndanda_Ngwa	mbǔ	mbǔ	ⁿb ǔ/u	ndan1241		5.191047	10.473404		1 7	AX	PY	6	6.P.C 6.Y.V	2.0 1.5	ⁿbǔ/u	0	563	ⁿb ǔ/u
827	47_hand	Hand	NdandaTwefap	Ndanda_Twefap	pǔ	pǔ	p ǔ/u	ndan1241		5.027245	10.473575		1 7	AX	PY	9	9.P.C 9.Y.V	2.0 1.5	pǔ/u	0	563	p ǔ/u
828	47_hand	Hand	NdandaDenfap	Ndanda_Denfap	pǔ	pǔ	p ǔ/u	ndan1241		5.111459	10.336031		1 7	AX	PY	3	3.P.C 3.Y.V	2.0 1.5	pǔ/u	0	563	p ǔ/u
829	47_hand	Hand	NdandaZua	Ndanda_Zua	bú	bú	b ú/u						1 7	AX	PY	10	10.P.C 10.Y.V	2.0 1.5	bú/u	1	563	b ú/u
830	47_hand	Hand	Goshimjang	Goshimjang	bú	bú	b ú/u	ndan1241		5.234168	10.407013		1 7	AX	PY	1	1.P.C 1.Y.V	2.0 1.5	bú/u	1	563	b ú/u
#
21	48_he	He	NdandaNyep	Ndanda_Nyep	jɔ̌	jɔ̌	j ɔ̌/ɔ	bato1245		5.254489	10.471901		6 7	AX	JU	7	7.J.C 7.U.V	2.0 1.5	jɔ̌/ɔ	1	575	j ɔ̌/ɔ
22	48_he	He	NdandaShingou	Ndanda_Shingou	jɔ̌	jɔ̌	j ɔ̌/ɔ	ndan1241		5.238847	10.491081		6 7	AX	JU	8	8.J.C 8.U.V	2.0 1.5	jɔ̌/ɔ	0	575	j ɔ̌/ɔ
23	48_he	He	NdandaCaa	Ndanda_Ca-a	jɔ̌	jɔ̌	j ɔ̌/ɔ	ndan1241		5.14715	10.3942		6 7	AX	JU	2	2.J.C 2.U.V	2.0 1.5	jɔ̌/ɔ	0	575	j ɔ̌/ɔ
24	48_he	He	NdandaMeno	Ndanda_Meno	jɔ̌	jɔ̌	j ɔ̌/ɔ	ndan1241		5.069482	10.425853		6 7	AX	JU	5	5.J.C 5.U.V	2.0 1.5	jɔ̌/ɔ	0	575	j ɔ̌/ɔ
25	48_he	He	NdandaLek	Ndanda_Lek	jɔ́	jɔ́	j ɔ́/ɔ	ndan1241		5.150741	10.429029		6 7	AX	JU	4	4.J.C 4.U.V	2.0 1.5	jɔ́/ɔ	0	575	j ɔ́/ɔ
26	48_he	He	NdandaNgwa	Ndanda_Ngwa	ʒǔ	ʒǔ	ʒ ǔ/u	ndan1241		5.191047	10.473404		3 7	AX	SY	6	6.S.C 6.Y.V	2.0 1.5	ʒǔ/u	0	576	ʒ ǔ/u -
27	48_he	He	NdandaTwefap	Ndanda_Twefap	ʒîp	ʒîp	ʒ î/i p	ndan1241		5.027245	10.473575		3 7 1	AXN	SIP	9	9.S.C 9.I.V 9.P.c	2.0 1.5 0.8	ʒî/ip	0	576	ʒ î/i p
28	48_he	He	NdandaDenfap	Ndanda_Denfap	ʒɨ̌	ʒɨ̌	ʒ ɨ̌/ɨ	ndan1241		5.111459	10.336031		3 7	AX	SI	3	3.S.C 3.I.V	2.0 1.5	ʒɨ̌/ɨ	0	576	ʒ ɨ̌/ɨ -
29	48_he	He	NdandaZua	Ndanda_Zua	jó	jó	j ó/o						6 7	AX	JU	10	10.J.C 10.U.V	2.0 1.5	jó/o	0	575	j ó/o
30	48_he	He	Goshimjang	Goshimjang	jɔ́	jɔ́	j ɔ́/ɔ	ndan1241		5.234168	10.407013		6 7	AX	JU	1	1.J.C 1.U.V	2.0 1.5	jɔ́/ɔ	0	575	j ɔ́/ɔ
#
711	49_head	Head	NdandaNyep	Ndanda_Nyep	twɨ̌	twɨ̌	tʷ ɨ̌/ɨ	bato1245		5.254489	10.471901		1 7	AX	TI	7	7.T.C 7.I.V	2.0 1.5	tʷɨ̌/ɨ	0	587	tʷ ɨ̌/ɨ
712	49_head	Head	NdandaShingou	Ndanda_Shingou	tʃǔ	tʃǔ	tʃ ǔ/u	ndan1241		5.238847	10.491081		1 7	AX	TY	8	8.T.C 8.Y.V	2.0 1.5	tʃǔ/u	0	587	tʃ ǔ/u
713	49_head	Head	NdandaCaa	Ndanda_Ca-a	tʃǔ	tʃǔ	tʃ ǔ/u	ndan1241		5.14715	10.3942		1 7	AX	TY	2	2.T.C 2.Y.V	2.0 1.5	tʃǔ/u	0	587	tʃ ǔ/u
714	49_head	Head	NdandaMeno	Ndanda_Meno	twɨ̌	twɨ̌	tʷ ɨ̌/ɨ	ndan1241		5.069482	10.425853		1 7	AX	TI	5	5.T.C 5.I.V	2.0 1.5	tʷɨ̌/ɨ	0	587	tʷ ɨ̌/ɨ
